"number","StreamClasicSort","StreamParallelSort","QuickeInsertionSort","ParallelQuickInsertionSort","QuickeSort","ParallelQuickSort","MergeSort","ParallelMergeSort","ParallelSampleSort"
"1","384100","101980","51180","138200","45420","156490","59050","166790","2951350"
"100","296510","343670","28030","121720","20820","198540","45670","234920","2211340"
"200","114190","251110","34170","172850","20080","194930","42640","287170","1782540"
"300","109830","237520","23240","142910","29900","180270","51710","232040","1866570"
"400","110630","214410","32590","197860","30340","167670","74610","185520","2161500"
"500","224570","222130","41030","213920","36730","156190","96010","124360","1927780"
"600","189590","249240","43450","256060","39740","108200","100610","142890","2139290"
"700","157840","272350","32720","155760","89660","135030","135960","210450","2095380"
"800","143650","178140","43530","121030","50710","106080","115570","137400","1775870"
"900","158500","204260","52960","81260","62250","94590","129890","143060","1587130"
"1000","132390","192930","56770","102070","68280","109960","168540","168000","2026350"
"2000","156440","313480","116930","138450","123920","134320","324380","213040","1850580"
"3000","271920","308310","159980","174700","164350","171580","418240","263650","1905410"
"4000","342790","353180","221810","144380","234390","188020","543930","471050","1962510"
"5000","387040","430980","261370","185890","283970","186630","585370","371310","1719900"
"6000","462430","345510","300790","204260","360370","250090","802000","413990","1658300"
"7000","523970","437400","375240","240840","404720","263900","922350","466540","1990570"
"8000","523800","366780","429300","229470","468640","282320","958060","469610","1899960"
"9000","629360","441760","517410","283570","554940","303280","1224650","689470","2040890"
"10000","679570","407160","567090","275930","619540","325400","1315750","601410","1772860"
"20000","1137040","1478500","1103310","434410","1168050","543610","2256150","1077360","1937430"
"30000","1625360","609860","1657140","574290","1939820","789450","3302800","1237630","2081060"
"40000","2913650","728340","2642530","862570","2719880","885900","5164950","2012440","3743450"
"50000","3221070","1043070","3283650","1275390","3739950","1661630","6420150","2492420","4531390"
"60000","3850360","1149030","3905020","1691630","4173540","1966950","7270430","3692790","5013060"
"70000","6839190","2213930","7724240","2314380","7863480","2627000","15667860","6889310","6410920"
"80000","7082030","2003170","8320640","2733610","8099560","3107610","14431980","5906380","5999580"
"90000","6517980","1954040","7440030","2601160","9015650","3359770","15848900","6031070","6291400"
"100000","6842460","1961310","8427990","3202420","10210860","3813270","17655130","6446510","6151250"
"200000","14457870","3376680","16128000","4620580","16815820","5719810","30687040","10613210","7264480"
"300000","21920230","4704210","25275750","8024550","27244750","9045790","48710080","17430610","12084890"
"400000","30189570","6336100","34455560","8496360","35763300","10103760","70272410","19694220","15827800"
"500000","36119530","7922260","40609980","10287250","42238620","14238990","78509270","23077490","16070510"
"600000","37343690","7568530","41839450","10908110","43205240","12373910","80708920","25837290","13919960"
"700000","43952820","8361430","49434160","12338260","50675140","13305750","94039190","31123530","15556460"
"800000","50960270","9407410","57216140","13641030","58666950","14497460","109703990","34084430","19443600"
"900000","58344190","13056960","66509020","14816020","67692170","18776490","127561370","37464900","20739680"
"1000000","66460940","16634340","74103490","15928410","75638600","19944750","138097150","45482830","23894630"
"2000000","140791010","26956480","153309310","36090050","156296800","43375340","289388150","83921660","45295710"
