number,StreamClasicSort,StreamParallelSort,QuickeInsertionSort,ParallelQuickInsertionSort,QuickeSort,ParallelQuickSort,MergeSort,ParallelMergeSort,ParallelSampleSort,StreamSortSpeed,QuickeInsertionSortSpeed,QuickeSortSpeed,MergeSortSpeed,SampleSortSpeed
1,384100,101980,51180,138200,45420,156490,59050,166790,2951350,3.766424789174348,0.3703328509406657,0.2902421879992332,0.3540380118712153,0.017341216731326343
100,296510,343670,28030,121720,20820,198540,45670,234920,2211340,0.8627753368056565,0.23028261583963194,0.10486551828346932,0.1944066065043419,0.012675572277442636
200,114190,251110,34170,172850,20080,194930,42640,287170,1782540,0.4547409501811955,0.1976858547873879,0.10301133740317037,0.1484834766862834,0.01916927530378
300,109830,237520,23240,142910,29900,180270,51710,232040,1866570,0.4624031660491748,0.1626198306626548,0.1658623176346591,0.22284950870539563,0.0124506447655325
400,110630,214410,32590,197860,30340,167670,74610,185520,2161500,0.5159740683736767,0.16471242292530072,0.18095067692491204,0.40216688227684344,0.015077492482072635
500,224570,222130,41030,213920,36730,156190,96010,124360,1927780,1.0109845585918156,0.1918006731488407,0.23516230232409246,0.7720328079768414,0.021283548952681322
600,189590,249240,43450,256060,39740,108200,100610,142890,2139290,0.7606724442304607,0.16968679215808793,0.36728280961182996,0.7041080551473161,0.020310476840447064
700,157840,272350,32720,155760,89660,135030,135960,210450,2095380,0.5795483752524325,0.21006676938880328,0.6640005924609346,0.6460441910192445,0.015615306054271779
800,143650,178140,43530,121030,50710,106080,115570,137400,1775870,0.8063882339732794,0.35966289349748,0.4780354449472097,0.8411208151382824,0.024511929364198957
900,158500,204260,52960,81260,62250,94590,129890,143060,1587130,0.7759718006462352,0.6517351710558701,0.6581033935934031,0.9079407241716763,0.03336840712481019
1000,132390,192930,56770,102070,68280,109960,168540,168000,2026350,0.6862074327476286,0.5561869305378662,0.6209530738450345,1.0032142857142856,0.028015890640807364
2000,156440,313480,116930,138450,123920,134320,324380,213040,1850580,0.4990430011483986,0.844564824846515,0.9225729600952948,1.5226248591813745,0.06318559586724162
3000,271920,308310,159980,174700,164350,171580,418240,263650,1905410,0.8819694463364796,0.9157412707498569,0.9578622217041614,1.5863455338516974,0.08396093229278738
