number,StreamClasicSort,StreamParallelSort,QuickeInsertionSort,ParallelQuickInsertionSort,QuickeSort,ParallelQuickSort,MergeSort,ParallelMergeSort,StreamSortSpeed,QuickeInsertionSortSpeed,QuickeSortSpeed,MergeSortSpeed
1,299910,66940,43450,102330,30580,72690,23770,69830,4.480280848521064,0.4246066647122056,0.42069060393451646,0.3403981096949735
100,194690,253350,21200,58950,28680,168820,63610,254380,0.7684626011446616,0.359626802374894,0.1698850847056036,0.2500589668999135
200,71600,154730,30490,154620,17990,230530,73300,329690,0.46274154979641957,0.1971931186133747,0.07803756560968203,0.22233006763929752
300,70770,108190,17420,88380,23900,145440,42830,199700,0.6541269987984102,0.19710341706268386,0.16432893289328934,0.214471707561342
400,72030,119080,24880,129300,23930,148480,47860,142860,0.6048874706079946,0.19242072699149265,0.16116648706896552,0.33501329973400534
500,83910,110100,28790,145700,26500,156680,60610,129080,0.762125340599455,0.19759780370624572,0.1691345417411284,0.46955376510691044
600,86350,113190,32520,165640,28120,170650,68670,143840,0.7628765792031098,0.19632938903646463,0.16478171696454733,0.47740545050055616
700,121230,133220,46700,194460,34610,180820,88730,98630,0.9099984987239154,0.24015221639411705,0.1914058179404933,0.8996248605900842
800,125900,144890,68430,216790,39180,89730,98190,111120,0.8689350541790324,0.31565109091747773,0.43664326312270146,0.8836393088552916
900,170690,190620,57570,288080,48800,82760,114430,119010,0.8954464379393557,0.19984032213274092,0.5896568390526824,0.9615158390051256
1000,150170,174400,38650,125210,47790,88270,115700,127620,0.8610665137614679,0.3086814152224263,0.5414070465616857,0.9065977119573735
2000,192070,240880,81100,101770,100360,135530,233830,189570,0.7973679840584523,0.7968949592217746,0.7405002582454069,1.233475760932637
3000,348930,366560,131420,131240,168750,140020,535910,237010,0.9519041903099084,1.0013715330691861,1.2051849735752036,2.261128222437872
4000,338090,317070,192860,134080,228950,165410,495710,246560,1.066294509098937,1.4383949880668259,1.3841363883682969,2.010504542504867
5000,272040,370860,246440,145210,267320,185970,592220,299820,0.7335382624170846,1.6971282969492458,1.437436145614884,1.975251817757321
6000,285960,319710,269900,153970,316660,194990,638980,362300,0.8944355822464108,1.7529388841982205,1.6239807169598441,1.7636765111785813
7000,344930,334370,317430,179070,338580,222600,779230,404560,1.0315817806621408,1.7726587368068354,1.5210242587601077,1.9261172631995254
8000,337800,271860,342170,188760,380600,210870,740400,337300,1.2425513131758994,1.8127251536342446,1.8049034950443401,2.1950785650756
9000,378670,302960,373970,206480,418390,232150,762080,382170,1.2499009770266702,1.8111681518791167,1.8022399310790438,1.994086401339718
10000,413180,331890,434800,223400,471690,260440,908610,433150,1.2449305492783753,1.946284691136974,1.8111273229918599,2.097679787602447
20000,867320,1331850,894160,384900,1044450,409370,1815450,875140,0.6512144761046664,2.323096908287867,2.551359405916408,2.074468085106383
30000,1314920,494230,1433310,472120,1510350,585670,2670450,1043690,2.66054266232321,3.035901889350165,2.5788413270271655,2.5586620548247083
40000,1787980,568160,1887600,605940,2121310,907010,3631150,1861100,3.14696564348071,3.115159916823448,2.338794500611901,1.9510773198645963
50000,2225690,630540,2396800,750170,2552260,851420,4586960,1738930,3.5298157135153994,3.19500913126358,2.997650983063588,2.637806007142323
60000,2716780,888690,2988860,1210120,3100890,1171990,5676120,2737430,3.0570615175145437,2.469887283905728,2.645833155573,2.0735215147053987
70000,3187670,972360,3433610,1369850,3638690,1468240,7506650,2880290,3.2782817063638983,2.506559112311567,2.4782664959407184,2.606213263247798
80000,3758080,1103720,3976130,1541360,4246650,1751950,7688970,3255160,3.40492153807125,2.579624487465615,2.4239561631325093,2.3620866562626723
90000,4194770,1198470,4634770,1729520,4926040,1998610,9136870,4028080,3.5001042996487186,2.6798013321615244,2.4647329894276524,2.268294075589363
100000,4701620,1242600,5143020,1739340,5756440,2045810,9886360,3904210,3.783695477225173,2.9568801959363897,2.8137705847561603,2.532230592104421
200000,9889100,2150920,10612610,2818410,11305040,3273460,20374770,7047000,4.597614044222937,3.765459957919536,3.4535445675218273,2.891268624946786
300000,15339250,3207480,16437370,4201240,17386750,5084470,31643940,10880320,4.782336912467108,3.9125044034618353,3.4195796218681593,2.9083648275050735
400000,20924290,3977940,22434210,5461680,23655540,6368370,43139050,15865140,5.260081851410529,4.107565803928462,3.714536058677495,2.7191093176612373
500000,26444660,4880330,28522630,6433870,29952590,7971550,55067700,18556500,5.418621281757586,4.433199613918217,3.757436132245297,2.9675693153342495
600000,32217400,5798440,34586830,7431230,36262080,12042880,67308370,21861500,5.556218569132388,4.654253737268259,3.0110804060158367,3.078854149989708
700000,38326940,7385500,40797120,10448270,43218330,12287040,78534930,23157770,5.1894848012998445,3.9046770422280437,3.5173914954293304,3.391299334953236
800000,44307020,8041310,48063360,11382230,49921730,12614060,90334590,26578650,5.509925621571609,4.2226663843552625,3.957625855592886,3.3987651743034353
900000,49989110,8899600,53750390,13455280,56088990,14443380,103253470,32073750,5.6170063823093175,3.994743327526443,3.8833700975810372,3.219251568650376
1000000,56016170,9615900,60212860,13909350,62847990,15274420,114298810,41899850,5.825369440198005,4.328948513050574,4.114590930457589,2.727904992499973
2000000,117388030,22750420,126903460,27538910,131449360,38556130,240295920,72694650,5.159818148412205,4.608151157761872,3.4092985992110725,3.305551646510438
